offer_id,image_1_primary,image_2_design,image_3_specs,image_4_rooms,image_5_texture
ЦБ-00032144,images/sku/cb-00032144/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032143,images/sku/cb-00032143/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032142,images/sku/cb-00032142/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032141,images/sku/cb-00032141/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032140,images/sku/cb-00032140/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032139,images/sku/cb-00032139/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032138,images/sku/cb-00032138/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032137,images/sku/cb-00032137/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032136,images/sku/cb-00032136/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032192,images/sku/cb-00032192/01-size-main.png,images/common/davos-1-da28/02-design-main.png,images/common/davos-1-da28/03-specs.png,images/common/davos-1-da28/04-rooms.png,images/common/davos-1-da28/05-texture.png
ЦБ-00032191,images/sku/cb-00032191/01-size-main.png,images/common/davos-1-da28/02-design-main.png,images/common/davos-1-da28/03-specs.png,images/common/davos-1-da28/04-rooms.png,images/common/davos-1-da28/05-texture.png
ЦБ-00032190,images/sku/cb-00032190/01-size-main.png,images/common/davos-1-da28/02-design-main.png,images/common/davos-1-da28/03-specs.png,images/common/davos-1-da28/04-rooms.png,images/common/davos-1-da28/05-texture.png
ЦБ-00032189,images/sku/cb-00032189/01-size-main.png,images/common/davos-1-da28/02-design-main.png,images/common/davos-1-da28/03-specs.png,images/common/davos-1-da28/04-rooms.png,images/common/davos-1-da28/05-texture.png
